Instance,n,m,c,variables,soft,Constraints,Peak,Status,Time
MERTENS,7,6,6,39706,114,79047,164,Optimal,0.3077843189239502
MERTENS,7,2,18,5307,22,11182,54,Optimal,0.04884219169616699
MERTENS,7,5,7,29778,91,59167,141,Optimal,0.19608044624328613
MERTENS,7,5,8,34018,91,67664,141,Optimal,0.2666447162628174
MERTENS,7,3,10,20772,63,41113,99,Optimal,0.14667010307312012
MERTENS,7,2,15,13062,40,25936,62,Optimal,0.08982324600219727
BOWMAN,8,5,20,209912,145,417821,146,Optimal,2.1352131366729736
JAESCHKE,9,8,6,55234,133,109828,173,Optimal,0.4080469608306885
JAESCHKE,9,3,18,11425,32,23832,47,Optimal,0.09112906455993652
JAESCHKE,9,6,8,44083,102,87558,104,Optimal,0.41992855072021484
JAESCHKE,9,4,10,25335,68,50484,91,Optimal,0.16973519325256348
JAESCHKE,9,3,18,11425,32,23832,47,Optimal,0.09874582290649414
JACKSON,11,8,7,77979,144,155891,166,Optimal,0.7014875411987305
JACKSON,11,3,21,14158,30,31485,57,Optimal,0.2170426845550537
JACKSON,11,6,9,66424,116,133106,142,Optimal,0.5361573696136475
JACKSON,11,5,10,57898,102,116231,121,Optimal,0.49857282638549805
JACKSON,11,4,13,39422,72,79630,90,Optimal,0.4497225284576416
JACKSON,11,4,14,42451,72,85777,83,Optimal,0.5139362812042236
MANSOOR,11,4,48,217132,91,437025,111,Optimal,2.1145293712615967
MANSOOR,11,2,94,43106,25,103709,71,Optimal,0.5026130676269531
MANSOOR,11,3,62,85718,48,179342,99,Optimal,0.6613023281097412
MITCHELL,21,8,14,322736,201,646197,225,Optimal,8.871082544326782
MITCHELL,21,3,39,165781,78,345129,84,Optimal,3.1053619384765625
MITCHELL,21,8,15,402479,218,806380,204,Optimal,10.960296869277954
MITCHELL,21,5,21,239344,137,482205,160,Optimal,3.995561361312866
MITCHELL,21,5,26,236922,121,483260,117,Optimal,17.67727541923523
MITCHELL,21,3,35,94325,59,197745,101,Optimal,1.1453187465667725
ROSZIEG,25,10,14,473070,242,959307,242,Optimal,29.92263126373291
ROSZIEG,25,4,32,185648,89,392208,118,Optimal,7.438730239868164
ROSZIEG,25,6,25,393038,159,805979,135,Optimal,107.16482758522034
ROSZIEG,25,8,16,405575,207,819986,221,Optimal,6.50281834602356
ROSZIEG,25,8,18,364594,183,745416,186,Optimal,55.560582876205444
ROSZIEG,25,6,21,455083,190,921898,163,Optimal,24.065975189208984
HESKIA,28,8,138,4585143,238,9515733,229,Optimal,3091.584179878235
HESKIA,28,3,342,1609646,77,3814071,97,Optimal,935.7709777355194
HESKIA,28,5,205,2434526,134,5277866,156,Optimal,1022.9600234031677
HESKIA,28,4,256,2097173,108,4706863,127,Optimal,1885.5579056739807
BUXEY,29,7,47,855982,168,1777025,184,Optimal,29.63511085510254
BUXEY,29,8,41,876440,184,1821942,194,Optimal,298.99037051200867
BUXEY,29,11,33,1170435,244,2400971,238,Optimal,2973.869475841522
BUXEY,29,13,27,1603384,323,3254282,292,Optimal,509.30472922325134
SAWYER,30,14,25,1943638,373,3952382,358,Optimal,61.80028009414673
SAWYER,30,7,47,915799,175,1914909,192,Optimal,44.07581686973572
SAWYER,30,8,41,977094,196,2039903,210,Optimal,1237.651209115982
GUNTHER,35,9,54,2269485,264,4692731,276,Optimal,263.97007179260254
GUNTHER,35,14,41,3092850,363,6328432,361,Optimal,225.99175000190735
GUNTHER,35,12,44,2797646,331,5728557,342,Optimal,173.6768364906311
GUNTHER,35,11,49,2458528,291,5080691,297,Optimal,972.0398337841034
