Instance,n,m,c,variables,soft,Constraints,Peak,Status,Time
MERTENS,7,6,6,19685,79,39250,106,Optimal,0.10269
MERTENS,7,2,18,5161,20,10928,36,Optimal,0.02579
BOWMAN,8,5,20,54398,71,108267,89,Optimal,0.34144
JAESCHKE,9,8,6,37077,108,73671,135,Optimal,0.28573
JAESCHKE,9,3,18,5382,19,11939,39,Optimal,0.03385
JACKSON,11,8,7,103350,168,206476,152,Optimal,0.79913
JACKSON,11,3,21,24651,44,52268,52,Optimal,0.35394
MANSOOR,11,4,48,143961,72,291470,100,Optimal,1.20937
MANSOOR,11,2,94,39531,22,96562,61,Optimal,0.39427
MITCHELL,21,8,14,177191,144,356060,156,Optimal,3.21909
MITCHELL,21,3,39,80770,48,176580,58,Optimal,2.60750
ROSZIEG,25,10,14,281111,181,576290,196,Optimal,24.46357
ROSZIEG,25,6,25,327921,142,676162,109,Optimal,599.20205
ROSZIEG,25,4,32,163719,80,348615,95,Optimal,5.58023
HESKIA,28,8,138,2093053,152,4543507,158,Optimal,2544.57657
HESKIA,28,5,205,1200992,85,2820892,107,Optimal,3388.74926
HESKIA,28,3,342,824040,45,2253835,65,Optimal,755.69597
BUXEY,29,14,25,902013,247,1855478,269,Optimal,17.39387
BUXEY,29,11,33,684975,181,1432259,180,Optimal,6615.93779
BUXEY,29,8,41,465153,127,1001844,148,Optimal,449.71916
BUXEY,29,7,47,446887,114,961521,141,Optimal,14.76554
SAWYER,30,14,25,1100139,274,2267958,282,Optimal,84.97617
SAWYER,30,12,30,970376,231,2023300,230,Optimal,10849.47984
SAWYER,30,8,41,631501,151,1350607,168,Optimal,3351.71078
SAWYER,30,7,47,715836,150,1516183,158,Optimal,33.39800
GUNTHER,35,14,40,1285204,226,2713363,267,Optimal,32.64121
GUNTHER,35,9,54,1146685,178,2451861,190,Optimal,55.36599
GUNTHER,35,9,61,1036597,156,2291355,156,Optimal,timeout
WARNECKE,58,25,65,10069172,510,21226239,503,Optimal,7333.66213
