Instance,n,m,c,Variables,Constraints,Peak_Power,Solutions,Best_Solutions,Status,Time
MERTENS,7,6,6,126,738,106,2,1,Optimal,0.00241
MERTENS,7,2,18,266,2495,36,8,5,Optimal,0.00824
BOWMAN,8,5,20,360,2387,89,10,9,Optimal,0.00628
JAESCHKE,9,8,6,180,614,135,2,1,Optimal,0.00150
JAESCHKE,9,3,18,351,3639,39,14,12,Optimal,0.00988
JACKSON,11,8,7,242,1688,152,9,8,Optimal,0.00480
JACKSON,11,3,21,495,8261,52,31,21,Optimal,0.15366
MANSOOR,11,4,48,1100,21752,100,4,3,Optimal,0.05047
MANSOOR,11,2,94,2090,65276,61,4,3,Optimal,0.15801
MITCHELL,21,8,14,756,7035,156,90,59,Optimal,0.07221
MITCHELL,21,3,39,1701,40950,58,108,96,Optimal,2.38480
ROSZIEG,25,10,14,950,23785,196,724,434,Optimal,0.77341
ROSZIEG,25,6,25,1400,45585,109,2224,1555,Optimal,120.67301
ROSZIEG,25,4,32,1700,50794,95,49,38,Optimal,1.60267
HESKIA,28,8,138,7952,1167737,158,4924,3565,Optimal,1245.71547
HESKIA,28,5,205,11620,1866343,109,777,749,Optimal,3615.78676
HESKIA,28,3,342,19236,3942074,67,194,182,Optimal,3691.35434
BUXEY,29,14,25,1856,86319,269,8,7,Optimal,0.12816
BUXEY,29,11,33,2233,118725,180,26719,17786,Optimal,3599.99891
BUXEY,29,8,41,2610,152309,148,3106,1875,Optimal,102.32548
BUXEY,29,7,47,2929,160594,141,39,28,Optimal,9.68642
SAWYER,30,14,25,1920,104935,282,20441,186,Optimal,1028.08052
SAWYER,30,12,30,2160,135740,230,44548,43634,Optimal,3600.15195
SAWYER,30,8,41,2700,172384,168,14593,9894,Optimal,1703.05705
SAWYER,30,7,47,3030,186381,158,46,23,Optimal,12.95227
GUNTHER,35,14,40,3290,258801,267,2,1,Optimal,0.66681
GUNTHER,35,9,54,4095,348773,190,146,78,Optimal,2.56958
GUNTHER,35,9,61,4585,509781,156,19860,17885,Optimal,3599.16674
WARNECKE,58,25,65,8990,1777736,498,86753,30565,Optimal,3599.91355
