Instance,n,m,c,Variables,Constraints,Peak_Power,Solutions,Best_Solutions,Status,Time
MERTENS,7,6,6,126,738,164,2,1,Optimal,0.00283
MERTENS,7,2,18,266,2495,54,9,6,Optimal,0.00656
BOWMAN,8,5,20,360,2387,146,13,5,Optimal,0.00760
JAESCHKE,9,8,6,180,614,173,3,2,Optimal,0.00131
JAESCHKE,9,3,18,351,3639,47,26,25,Optimal,0.02011
JACKSON,11,8,7,242,1688,166,11,10,Optimal,0.00518
JACKSON,11,3,21,495,8261,57,51,47,Optimal,0.09275
MANSOOR,11,4,48,1100,21752,111,8,6,Optimal,0.04932
MANSOOR,11,2,94,2090,65276,71,6,3,Optimal,0.21357
MITCHELL,21,8,14,756,7035,225,132,87,Optimal,0.09216
MITCHELL,21,3,39,1701,40950,84,64,59,Optimal,1.07902
ROSZIEG,25,10,14,950,23785,242,360,326,Optimal,0.43101
ROSZIEG,25,6,25,1400,45585,135,2102,1681,Optimal,140.29351
ROSZIEG,25,4,32,1700,50794,118,90,44,Optimal,1.80684
HESKIA,28,8,138,7952,1167737,229,6335,3799,Optimal,2351.12872
HESKIA,28,5,205,11620,1866343,158,645,565,Optimal,3604.00874
HESKIA,28,3,342,19236,3942074,100,147,119,Optimal,3605.59737
BUXEY,29,14,25,1856,86319,315,15449,8433,Optimal,684.92949
BUXEY,29,11,33,2233,118725,238,35967,29217,Optimal,3600.08591
BUXEY,29,8,41,2610,152309,194,5457,3876,Optimal,265.15240
BUXEY,29,7,47,2929,160594,184,35,28,Optimal,10.64963
SAWYER,30,14,25,1920,104935,358,31,30,Optimal,0.23825
SAWYER,30,12,30,2160,135740,286,48731,38200,Optimal,3599.15887
SAWYER,30,8,41,2700,172384,211,20411,18293,Optimal,3599.09075
SAWYER,30,7,47,3030,186381,192,100,92,Optimal,12.96500
GUNTHER,35,14,40,3290,258801,406,7,6,Optimal,0.71091
GUNTHER,35,9,54,4095,348773,276,113,106,Optimal,2.50332
GUNTHER,35,9,61,4585,509781,238,20479,6653,Optimal,3601.20887
WARNECKE,58,25,65,8990,1777736,726,1456,1415,Optimal,3703.90340
