Instance,n,m,c,Variables,Constraints,Peak_Power,Solutions,Best_Solutions,Status,Time
MERTENS,7,6,6,126,738,164,4,3,Optimal,0.00157
MERTENS,7,2,18,266,2495,54,13,12,Optimal,0.00733
BOWMAN,8,5,20,360,2387,146,15,7,Optimal,0.00709
JAESCHKE,9,8,6,180,614,173,2,1,Optimal,0.00105
JAESCHKE,9,3,18,351,3639,47,25,24,Optimal,0.01500
JACKSON,11,8,7,242,1688,166,6,5,Optimal,0.00275
JACKSON,11,3,21,495,8261,57,27,23,Optimal,0.05250
MANSOOR,11,4,48,1100,21752,111,7,5,Optimal,0.04294
MANSOOR,11,2,94,2090,65276,71,7,4,Optimal,0.15068
MITCHELL,21,8,14,756,7035,225,113,54,Optimal,0.08767
MITCHELL,21,3,39,1701,40950,84,48,42,Optimal,0.60251
ROSZIEG,25,10,14,950,23785,242,308,296,Optimal,0.40512
ROSZIEG,25,6,25,1400,45585,135,2162,1681,Optimal,312.67301
ROSZIEG,25,4,32,1700,50794,118,93,85,Optimal,1.25371
HESKIA,28,8,138,7952,1167737,229,6419,4736,Optimal,3600.70313
HESKIA,28,5,205,11620,1866343,157,760,477,Optimal,3610.49113
HESKIA,28,3,342,19236,3942074,100,137,87,Optimal,3910.40432
BUXEY,29,14,25,1856,86319,315,15813,6975,Optimal,1013.97464
BUXEY,29,11,33,2233,118725,239,35403,13667,Optimal,3599.99789
BUXEY,29,8,41,2610,152309,194,5131,3501,Optimal,349.93982
BUXEY,29,7,47,2929,160594,184,36,33,Optimal,7.19077
SAWYER,30,14,25,1920,104935,358,29,28,Optimal,0.27902
SAWYER,30,12,30,2160,135740,287,49190,30822,Optimal,3599.54531
SAWYER,30,8,41,2700,172384,210,16751,16524,Optimal,3599.96257
SAWYER,30,7,47,3030,186381,192,97,78,Optimal,18.94857
GUNTHER,35,14,40,3290,258801,406,2,1,Optimal,0.40573
GUNTHER,35,9,54,4095,348773,276,111,109,Optimal,1.36741
GUNTHER,35,9,61,4585,509781,238,25159,22860,Optimal,3609.86998
WARNECKE,58,25,65,8990,1777736,738,83,70,Optimal,4639.67817
