Instance,n,m,c,variables,Constraints,Peak,Status,Time
MERTENS,7,6,6,142,861,164,Optimal,0.0016369819641113281
MERTENS,7,2,18,334,1996,54,Optimal,0.004639148712158203
MERTENS,7,5,7,146,760,141,Optimal,0.0018661022186279297
MERTENS,7,5,8,166,925,141,Optimal,0.0022063255310058594
MERTENS,7,3,10,178,732,99,Optimal,0.0021915435791015625
MERTENS,7,2,15,271,1177,62,Optimal,0.0031278133392333984
BOWMAN,8,5,20,36669,73939,146,Optimal,0.10756850242614746
JAESCHKE,9,8,6,206,825,173,Optimal,0.0015649795532226562
JAESCHKE,9,3,18,4713,12375,47,Optimal,0.024554729461669922
JAESCHKE,9,6,8,221,884,104,Optimal,0.002104043960571289
JAESCHKE,9,4,10,246,1228,91,Optimal,0.0026967525482177734
JAESCHKE,9,3,18,4713,12375,47,Optimal,0.025447607040405273
JACKSON,11,8,7,289,1966,166,Optimal,0.003814220428466797
JACKSON,11,3,21,8546,24030,57,Optimal,0.0905754566192627
JACKSON,11,6,9,316,2445,142,Optimal,0.00380706787109375
JACKSON,11,5,10,14819,31712,121,Optimal,0.14281964302062988
JACKSON,11,4,13,12157,28234,90,Optimal,0.09084630012512207
JACKSON,11,4,14,10448,23996,83,Optimal,0.08350682258605957
MANSOOR,11,4,48,1281,11468,111,Optimal,0.0270538330078125
MANSOOR,11,2,94,2754,28883,71,Optimal,0.06311726570129395
MANSOOR,11,3,62,1722,16623,99,Optimal,0.025481462478637695
MITCHELL,21,8,14,70274,138641,225,Optimal,0.6247260570526123
MITCHELL,21,3,39,40087,107982,84,Optimal,0.5328772068023682
MITCHELL,21,8,15,72261,143304,204,Optimal,0.6871416568756104
MITCHELL,21,5,21,56473,125075,160,Optimal,0.28379392623901367
MITCHELL,21,5,26,60592,139311,117,Optimal,2.31890869140625
MITCHELL,21,3,35,2075,19827,101,Optimal,0.10570192337036133
ROSZIEG,25,10,14,81608,181465,242,Optimal,1.066235065460205
ROSZIEG,25,4,32,66983,165352,118,Optimal,1.0583782196044922
ROSZIEG,25,6,25,73122,185288,135,Optimal,38.29492425918579
ROSZIEG,25,8,16,82183,173126,221,Optimal,0.5226819515228271
ROSZIEG,25,8,18,83799,185411,186,Optimal,6.395297527313232
ROSZIEG,25,6,21,81362,178300,163,Optimal,1.0008866786956787
HESKIA,28,8,138,833181,2021412,229,Optimal,189.6308023929596
HESKIA,28,3,342,546692,1772171,97,Optimal,155.4926290512085
HESKIA,28,5,205,641787,1760786,156,Optimal,131.77726292610168
HESKIA,28,5,216,723197,1952148,148,Optimal,398.50372314453125
HESKIA,28,4,256,637194,1866401,127,Optimal,401.8264524936676
HESKIA,28,4,324,656890,2044168,98,Optimal,3318.580231189728
BUXEY,29,7,47,194997,460698,184,Optimal,2.9148435592651367
BUXEY,29,8,41,202840,475851,194,Optimal,27.32351517677307
BUXEY,29,11,33,209501,493002,238,Optimal,451.067955493927
BUXEY,29,13,27,225100,498200,292,Optimal,14.523258924484253
BUXEY,29,12,30,200262,477467,261,Optimal,1029.290467262268
SAWYER,30,14,25,191491,460917,282,Optimal,5.527912378311157
SAWYER,30,7,47,152790,421258,158,Optimal,4.45070219039917
SAWYER,30,8,41,175862,449218,168,Optimal,80.80318331718445
SAWYER,30,12,30,193360,485079,229,Optimal,436.2019691467285
SAWYER,30,13,27,187472,454461,268,Optimal,4.63403582572937
GUNTHER,35,9,54,380227,972726,262,Optimal,4.806483745574951
GUNTHER,35,9,61,374739,1029718,219,Optimal,244.9815583229065
GUNTHER,35,14,41,434442,999211,342,Optimal,3.327082633972168
GUNTHER,35,12,44,452935,1019962,319,Optimal,4.206631660461426
GUNTHER,35,11,49,380864,975123,276,Optimal,17.053032398223877
GUNTHER,35,8,69,383112,1034258,193,Optimal,3328.384815454483
WARNECKE,58,25,65,1981501,4919510,721,Optimal,1699.7784345149994
