Instance,n,m,c,variables,soft,Constraints,Peak,Status,Time
MERTENS,7,6,6,13042,114,27321,164,Optimal,0.08129549026489258
MERTENS,7,2,18,5775,22,14116,54,Optimal,0.0245058536529541
MERTENS,7,5,7,11655,91,23467,141,Optimal,0.26099514961242676
MERTENS,7,5,8,13306,91,26864,141,Optimal,0.26198458671569824
MERTENS,7,3,10,10132,63,21723,99,Optimal,0.10228943824768066
MERTENS,7,2,15,9177,40,19111,62,Optimal,0.047951698303222656
BOWMAN,8,5,20,58272,145,116841,146,Optimal,0.2495269775390625
JAESCHKE,9,8,6,16228,133,33106,173,Optimal,0.1066901683807373
JAESCHKE,9,3,18,8869,32,20754,47,Optimal,0.0525965690612793
JAESCHKE,9,6,8,15707,102,31606,104,Optimal,0.06920695304870605
JAESCHKE,9,4,10,11545,68,24554,91,Optimal,0.11083030700683594
JAESCHKE,9,3,18,8869,32,20754,47,Optimal,0.054120779037475586
JACKSON,11,8,7,22252,144,44857,166,Optimal,0.15183687210083008
JACKSON,11,3,21,10378,30,27222,57,Optimal,0.1202247142791748
JACKSON,11,6,9,20677,116,43898,142,Optimal,0.09814691543579102
JACKSON,11,5,10,20328,102,42721,121,Optimal,0.08636283874511719
JACKSON,11,4,13,17556,72,37016,90,Optimal,0.18337726593017578
JACKSON,11,4,14,18903,72,39885,83,Optimal,0.21739506721496582
MANSOOR,11,4,48,85420,91,174369,111,Optimal,0.47449326515197754
MANSOOR,11,2,94,38782,25,108409,71,Optimal,0.19007492065429688
MANSOOR,11,3,62,50068,48,116908,99,Optimal,0.17025494575500488
MITCHELL,21,8,14,76266,201,151297,225,Optimal,0.4409632682800293
MITCHELL,21,3,39,73468,78,162141,84,Optimal,1.0711236000061035
MITCHELL,21,8,15,89519,218,179830,204,Optimal,0.8001799583435059
MITCHELL,21,5,21,71365,137,149355,160,Optimal,0.42186927795410156
MITCHELL,21,5,26,74292,121,167646,117,Optimal,2.8822782039642334
MITCHELL,21,3,35,47810,59,113150,101,Optimal,0.3940010070800781
ROSZIEG,25,10,14,94160,242,205477,242,Optimal,1.6848928928375244
ROSZIEG,25,4,32,71824,89,167440,118,Optimal,0.9523780345916748
ROSZIEG,25,6,25,108888,159,231954,135,Optimal,39.33208155632019
ROSZIEG,25,8,16,92423,207,192386,221,Optimal,0.4041445255279541
ROSZIEG,25,8,18,91552,183,194544,186,Optimal,10.68192744255066
ROSZIEG,25,6,21,110998,190,229990,163,Optimal,1.5744445323944092
HESKIA,28,8,138,934491,238,2238855,229,Optimal,237.0806438922882
HESKIA,28,3,342,693428,77,1991895,97,Optimal,203.24513626098633
HESKIA,28,5,205,747581,134,1898646,156,Optimal,146.02246809005737
HESKIA,28,5,216,1048107,173,2466011,148,Optimal,405.8349435329437
HESKIA,28,4,256,693013,108,1978927,127,Optimal,349.27494740486145
BUXEY,29,7,47,229284,168,505064,184,Optimal,3.457066059112549
BUXEY,29,8,41,219456,184,494977,194,Optimal,36.607177734375
BUXEY,29,11,33,232575,244,530960,238,Optimal,530.846334695816
BUXEY,29,13,27,287458,323,583442,292,Optimal,19.274567127227783
BUXEY,29,12,30,296752,302,613643,261,Optimal,1253.562094449997
SAWYER,30,14,25,220542,277,490886,282,Optimal,5.4237353801727295
SAWYER,30,7,47,220228,157,507288,158,Optimal,4.2894299030303955
SAWYER,30,8,41,191246,154,454268,168,Optimal,84.53962802886963
SAWYER,30,12,30,199878,223,479882,229,Optimal,450.5059404373169
SAWYER,30,13,27,215593,259,488549,268,Optimal,5.383423566818237
GUNTHER,35,9,54,365946,225,890174,262,Optimal,6.0319836139678955
GUNTHER,35,9,61,404579,220,1022009,219,Optimal,263.64249753952026
GUNTHER,35,14,41,499017,354,1068656,342,Optimal,4.321444988250732
GUNTHER,35,12,44,466069,314,1003908,319,Optimal,4.465515613555908
GUNTHER,35,11,49,525504,317,1143959,276,Optimal,17.282576322555542
WARNECKE,58,25,65,2057046,739,4797198,721,Optimal,1908.3546829223633
LUTZ2,89,49,11,684330,1221,1882279,1155,Optimal,28.829025983810425
LUTZ2,89,44,12,712270,1184,1951958,1050,Optimal,35.70543575286865
