Instance,n,m,c,Variables,Constraints,Peak_Power,Solutions,Best_Solutions,Status,Time
MERTENS,7,6,6,219,772,164,2,1,Optimal,0.00210
MERTENS,7,2,18,1810,1819,54,6,5,Optimal,0.01995
BOWMAN,8,5,20,3486,1897,146,9,8,Optimal,0.02899
JAESCHKE,9,8,6,302,730,173,2,1,Optimal,0.00189
JAESCHKE,9,3,18,3922,2597,47,8,7,Optimal,0.03997
JACKSON,11,8,7,1919,1741,166,4,3,Optimal,0.01206
JACKSON,11,3,21,8100,5395,57,8,7,Optimal,0.12155
MANSOOR,11,4,48,7424,10311,111,3,2,Optimal,0.06344
MANSOOR,11,2,94,10086,26417,71,3,2,Optimal,0.12517
MITCHELL,21,8,14,85808,6001,225,8,7,Optimal,0.77186
MITCHELL,21,3,39,100221,22639,84,9,8,Optimal,1.33010
ROSZIEG,25,10,14,312835,19610,242,15,14,Optimal,5.85697
ROSZIEG,25,6,25,497253,28546,135,20,19,Optimal,52.21513
ROSZIEG,25,4,32,287702,29464,118,12,11,Optimal,7.34673
HESKIA,28,8,138,4194226,402666,229,16,15,Optimal,1052.33390
HESKIA,28,5,205,3960206,473558,156,15,14,Optimal,713.50012
HESKIA,28,3,342,4614722,685379,97,19,18,Optimal,853.52548
BUXEY,29,14,25,972140,63107,315,16,15,Optimal,95.79039
BUXEY,29,11,33,1528504,75086,238,21,20,Optimal,1125.85248
BUXEY,29,8,41,1563374,84917,194,20,19,Optimal,215.15925
BUXEY,29,7,47,719419,82414,184,9,8,Optimal,74.29004
SAWYER,30,14,25,970739,80335,358,15,14,Optimal,14.10060
SAWYER,30,12,30,1449828,96140,286,23,22,timeout,3600.04971
SAWYER,30,8,41,1595300,102376,210,20,19,Optimal,674.89876
SAWYER,30,7,47,867542,101334,192,11,10,Optimal,145.31694
GUNTHER,35,14,40,941337,161618,406,6,5,Optimal,8.39649
GUNTHER,35,9,54,2244434,180552,276,12,11,Optimal,52.84992
GUNTHER,35,9,61,5954260,241844,236,30,29,Optimal,14062.55485
WARNECKE,58,25,65,17591891,1145280,725,18,17,Optimal,3901.70645
