Instance,n,m,c,Variables,Constraints,Peak_Power,Solutions,Best_Solutions,Status,Time
MERTENS,7,6,6,219,772,164,2,1,Optimal,0.00268
MERTENS,7,2,18,2098,1819,54,7,6,Optimal,0.02065
BOWMAN,8,5,20,1186,1897,146,3,2,Optimal,0.00708
JAESCHKE,9,8,6,302,730,173,2,1,Optimal,0.00237
JAESCHKE,9,3,18,3328,2597,47,7,6,Optimal,0.03571
JACKSON,11,8,7,3277,1741,166,7,6,Optimal,0.02043
JACKSON,11,3,21,12153,5395,57,11,10,Optimal,0.16681
MANSOOR,11,4,48,7424,10311,111,3,2,Optimal,0.05367
MANSOOR,11,2,94,10086,26417,71,3,2,Optimal,0.09431
MITCHELL,21,8,14,37368,6001,225,4,3,Optimal,0.40335
MITCHELL,21,3,39,121164,22639,84,11,10,Optimal,1.66725
ROSZIEG,25,10,14,358713,19610,242,17,16,Optimal,7.89798
ROSZIEG,25,6,25,351228,28546,135,15,14,Optimal,91.68699
ROSZIEG,25,4,32,217110,29464,118,9,8,Optimal,5.13157
HESKIA,28,8,138,7133764,402666,229,26,25,Optimal,5784.87790
HESKIA,28,5,205,5224441,473558,156,19,18,Optimal,2041.28376
HESKIA,28,3,342,3108212,685379,97,14,13,Optimal,1341.01171
BUXEY,29,14,25,778165,63107,315,13,12,Optimal,103.40137
BUXEY,29,11,33,2414950,75086,238,32,31,Optimal,2179.14822
BUXEY,29,8,41,1060673,84917,194,14,13,Optimal,428.89917
BUXEY,29,7,47,791893,82414,184,10,9,Optimal,96.71983
SAWYER,30,14,25,902614,80335,358,14,13,Optimal,8.81957
SAWYER,30,12,30,1858354,96140,286,25,24,Optimal,11207.23419
SAWYER,30,8,41,1511291,102376,210,19,18,Optimal,2296.53353
SAWYER,30,7,47,994489,101334,192,12,11,Optimal,166.29101
GUNTHER,35,14,40,568657,161618,406,4,3,Optimal,4.11309
GUNTHER,35,9,54,2220296,180552,276,12,11,Optimal,132.10651
GUNTHER,35,9,61,?,?,?,?,?,timeout,3600.00000
WARNECKE,58,25,65,14477611,1145280,728,15,14,Optimal,3989.14999
