Instance,n,m,c,Variables,Constraints,Peak_Power,Solutions,Best_Solutions,Status,Time
MERTENS,7,6,6,141,772,164,2,1,Optimal,0.00161
MERTENS,7,2,18,334,1819,54,8,7,Optimal,0.00567
BOWMAN,8,5,20,386,1897,146,14,9,Optimal,0.00817
JAESCHKE,9,8,6,200,730,173,2,1,Optimal,0.00140
JAESCHKE,9,3,18,448,2597,47,20,14,Optimal,0.01067
JACKSON,11,8,7,281,1741,166,6,5,Optimal,0.00366
JACKSON,11,3,21,645,5395,57,39,29,Optimal,0.04041
MANSOOR,11,4,48,1280,10311,111,6,5,Optimal,0.02343
MANSOOR,11,2,94,2754,26417,71,6,4,Optimal,0.06175
MITCHELL,21,8,14,898,6001,225,112,61,Optimal,0.07818
MITCHELL,21,3,39,2331,22639,84,62,57,Optimal,0.19551
ROSZIEG,25,10,14,1181,19610,242,350,310,Optimal,0.34403
ROSZIEG,25,6,25,1853,28546,135,2125,1632,Optimal,57.17391
ROSZIEG,25,4,32,2294,29464,118,85,59,Optimal,0.49033
HESKIA,28,8,138,9928,402666,229,6019,2635,Optimal,1393.08166
HESKIA,28,5,205,15391,473558,156,903,773,Optimal,501.57360
HESKIA,28,3,342,26792,685379,97,193,186,Optimal,399.95570
BUXEY,29,14,25,2165,63107,315,15421,2792,Optimal,372.11567
BUXEY,29,11,33,2716,75086,238,41273,36643,Optimal,3599.22594
BUXEY,29,8,41,3283,84917,194,5399,4240,Optimal,132.03537
BUXEY,29,7,47,3750,82414,184,42,35,Optimal,1.88244
SAWYER,30,14,25,2289,80335,358,39,38,Optimal,0.19487
SAWYER,30,12,30,2644,96140,286,54437,31326,Optimal,3599.13156
SAWYER,30,8,41,3434,102376,210,20763,12475,Optimal,2279.38517
SAWYER,30,7,47,3917,101334,192,80,37,Optimal,2.54126
GUNTHER,35,14,40,4017,161618,406,3,2,Optimal,0.23355
GUNTHER,35,9,54,5216,180552,276,109,102,Optimal,1.36899
GUNTHER,35,9,61,5967,241844,237,34666,29379,Optimal,3602.57669
WARNECKE,58,25,65,10496,1145280,723,87360,5643,Optimal,3599.34495
