Instance,n,m,c,Variables,Constraints,Peak_Power,Solutions,Best_Solutions,Status,Time
MERTENS,7,6,6,141,772,164,2,1,Optimal,0.00134
MERTENS,7,2,18,334,1819,54,12,10,Optimal,0.00476
BOWMAN,8,5,20,386,1897,146,15,9,Optimal,0.00659
JAESCHKE,9,8,6,200,730,173,2,1,Optimal,0.00111
JAESCHKE,9,3,18,448,2597,47,27,23,Optimal,0.01001
JACKSON,11,8,7,281,1741,166,6,5,Optimal,0.00274
JACKSON,11,3,21,645,5395,57,39,30,Optimal,0.03292
MANSOOR,11,4,48,1280,10311,111,4,2,Optimal,0.01339
MANSOOR,11,2,94,2754,26417,71,7,3,Optimal,0.04007
MITCHELL,21,8,14,898,6001,225,108,47,Optimal,0.08594
MITCHELL,21,3,39,2331,22639,84,52,50,Optimal,0.15488
ROSZIEG,25,10,14,1181,19610,242,314,274,Optimal,0.37705
ROSZIEG,25,6,25,1853,28546,135,2422,2116,Optimal,73.53641
ROSZIEG,25,4,32,2294,29464,118,89,80,Optimal,0.38945
HESKIA,28,8,138,9928,402666,229,6523,4004,Optimal,1715.82423
HESKIA,28,5,205,15391,473558,156,1227,1172,Optimal,441.31020
HESKIA,28,3,342,26792,685379,97,205,199,Optimal,197.56475
BUXEY,29,14,25,2165,63107,315,15151,5247,Optimal,532.62920
BUXEY,29,11,33,2716,75086,239,42001,13124,timeout,3599.32818
BUXEY,29,8,41,3283,84917,194,5209,4282,Optimal,200.54757
BUXEY,29,7,47,3750,82414,184,30,25,Optimal,1.52593
SAWYER,30,14,25,2289,80335,358,17,16,Optimal,0.09640
SAWYER,30,12,30,2644,96140,286,60642,43899,timeout,3599.85694
SAWYER,30,8,41,3434,102376,210,20538,13185,Optimal,3373.64406
SAWYER,30,7,47,3917,101334,192,96,89,Optimal,2.80569
GUNTHER,35,14,40,4017,161618,406,7,6,Optimal,0.16484
GUNTHER,35,9,54,5216,180552,276,107,87,Optimal,0.91289
GUNTHER,35,9,61,5967,241844,238,33475,13272,timeout,3599.55389
WARNECKE,58,25,65,10496,1145280,722,88146,68832,timeout,3599.26784
