"filename,m,c,#Var,#Cons,value,#sol,#solbb,Time taken (seconds),",

"MERTENS,6,6,141,772,164,2,1,0.00353,",
"JAESCHKE,8,6,200,730,173,2,1,0.00296,",
"JACKSON,8,7,281,1741,166,6,5,0.00723,",
"MITCHELL,8,14,898,6001,225,108,47,0.13027,",
"ROSZIEG,10,14,1181,19610,242,314,274,0.53461,",
"MERTENS,2,18,334,1819,54,12,10,0.00798,",
"JAESCHKE,3,18,448,2597,47,27,23,0.01548,",
"BOWMAN,5,20,386,1897,146,15,9,0.01003,",
"JACKSON,3,21,645,5395,57,39,30,0.04438,",
"ROSZIEG,6,25,1853,28546,135,2422,2116,77.16153,",
"BUXEY,14,25,2165,63107,315,15151,5247,416.47731,",
"ROSZIEG,4,32,2294,29464,118,89,80,0.49887,",
"MITCHELL,3,39,2331,22639,84,52,50,0.19309,",
"BUXEY,8,41,3283,84917,194,5209,4282,121.17833,",
"BUXEY,7,47,3750,82414,184,30,25,2.44664,",
"MANSOOR,4,48,1280,10311,111,4,2,0.02315,",
"MANSOOR,2,94,2754,26417,71,7,3,0.05974,",
"HESKIA,8,138,9928,402666,229,6523,4004,1411.10546,",
"HESKIA,5,205,15391,473558,156,1227,1172,365.01182,",
"HESKIA,3,342,26792,685379,97,205,199,175.06443,",
